date,strategy_return,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_PR_uniform_excl,beta_const
2021-03-31,0.018105937640301044,1.1856245714399558,0.40917498748956677,-0.6991252872086547,-0.8571127021077041,0.3717809828492994,0.25953139807282233,-0.004839085791085029
2021-04-30,0.007838504525150274,1.1484286274370168,0.5135472023602348,-0.7230330156378784,-0.663902031345051,0.43810741866276465,0.26948155886724245,-0.0031344240396019036
2021-05-31,0.026353323763330393,1.1516532744551038,0.49193784936781004,-0.7073708089881625,-0.7007654912996532,0.4272622642946969,0.2657706589356825,-0.002656997147285853
2021-06-30,-0.017220445537061174,1.1548158223848342,0.4806763195062314,-0.6857230909430904,-0.6784881882509517,0.46047268592125523,0.2744202254220308,-0.0019878318127221238
2021-07-31,0.04737446527594971,1.149466514407389,0.44449015688539456,-0.6282863629815121,-0.6943723237817844,0.4149176097601004,0.2724748865298303,-0.0027000008434727033
2021-08-31,0.014789767940484401,1.0918419848388954,0.5521581423137559,-0.6990971993762758,-0.445206265414571,0.4018499396609972,0.2567630878291936,-0.0033820492084442296
2021-09-30,-0.0024762448693271544,1.0881358129161323,0.4933083474313563,-0.6416639832287485,-0.5252918422551156,0.3034519604688991,0.23838008744823816,-0.001999529807862932
2021-10-31,-0.06073865143482354,1.0813953182931222,0.5399617970783772,-0.6735647717300364,-0.45845804252055106,0.2772532666175868,0.23489640335156914,-0.0034327254797021033
2021-11-30,0.010445191060252997,0.9853995825196777,0.6503663367832034,-0.7027576409114931,-0.36405254570915396,0.3556563960863426,0.2077688869832205,-0.0035405233722487057
2021-12-31,-0.011581525462099078,0.9657550344404295,0.711830068657771,-0.7302458952428303,-0.305035612648692,0.3260472671264196,0.20306923083212125,-0.005155399530045053
2022-01-31,0.028423109541096503,0.8859266486566155,0.7407736474161803,-0.7113396618146662,-0.31523653982797273,0.17966970775364843,0.17631978505878615,-0.00401506956598177
2022-02-28,-0.036112843722824126,0.8458892916077122,0.7207257039824669,-0.7033930392293725,-0.2786305419859028,0.22257323140096094,0.16825750913588233,-0.004872710455510464
2022-03-31,0.0007959965130938454,0.8514135711735248,0.7179873080552274,-0.7137710313746529,-0.2217614626110031,0.1493637105117561,0.163163311318802,-0.005553469941993162
2022-04-30,0.021967618199178404,0.850078015408391,0.7090398816540915,-0.713829513560831,-0.21947481098214816,0.13801493810736926,0.16228886563081504,-0.005233331199699579
2022-05-31,0.05974760669091629,0.8300661414574075,0.6844359934864402,-0.6658307304783694,-0.20220516627723178,0.06072925216597448,0.15318934697591696,-0.0033086636766426944
2022-06-30,0.038286308688462334,0.8126549579223807,0.6479062117922025,-0.6093836615064413,-0.22023897778652846,0.0807619422187341,0.14196727370479456,-0.0012378951061985878
2022-07-31,-0.05229597044227778,0.7105070000283265,0.7573845502252089,-0.6318664294083859,-0.10478429297715218,0.0041879978456471345,0.1290257824009091,-0.0005133210955373885
2022-08-31,-0.014546287008097049,0.6781765242404902,0.7463687484168741,-0.6529133596707712,-0.10838085088591709,0.14938382881146645,0.1067968112506814,-0.001570804242545038
2022-09-30,0.03188161795618272,0.6740791730970068,0.7428815121666292,-0.6659998242505667,-0.05097911963927476,0.1512239949032546,0.09913676847655754,-0.0020287766307265317
2022-10-31,0.082567952878737,0.6408652049130474,0.7334357667073071,-0.646296671364273,-0.07108888152593754,0.09755795365014523,0.09511255323259049,-0.0007205017176385243
2022-11-30,0.04874924425341758,0.6529960263855966,0.772925469710299,-0.6513677030601295,0.007990149361617392,0.31314798620447876,0.04312517674330697,-0.0010968793050810978
2022-12-31,-0.009657050738653479,0.6119125312401649,0.8230996858686837,-0.6868256607478995,0.19700914396170496,0.40079217644733417,0.02016037377510942,-0.0034059846211552318
2023-01-31,-0.04425290310053756,0.619202917151159,0.815578751800507,-0.6798533876975719,0.188217171122311,0.3891498492717359,0.02094621315747951,-0.003290652020195739
2023-02-28,-0.06067447152385654,0.6252510054620639,0.6837430927712909,-0.6689012237683896,0.13417761372754983,0.39037779853157717,0.017161743101537442,-0.0022639605448230315
2023-03-31,-0.01340996814618542,0.6746076994758514,0.6467993627894871,-0.6748992514527724,0.11372422024274129,0.5007026889627164,-4.648585033955807e-05,-0.005909224216456772
2023-04-30,0.0020630977447945826,0.6683187202939098,0.6573460619652982,-0.6795422321387892,0.11463121202725958,0.5093298344603001,-0.0004231929820189863,-0.005996132485314792
2023-05-31,-0.04971293189793748,0.6001126444008068,0.6030819468530796,-0.666594728531777,0.08097445141096371,0.510901314756284,-0.02297042451658307,-0.005853078774062682
2023-06-30,-0.04006940229679598,0.619684081379183,0.6043722748615014,-0.6523027962371584,0.0856700698373189,0.5940811382713551,-0.008740520447627576,-0.008745384422843039
2023-07-31,0.001010426028196192,0.6056472410762886,0.6122369634045003,-0.6824237887670914,0.07196197579350802,0.6403613918393698,-0.01110270110594793,-0.008809551292509932
2023-08-31,0.03028992370660348,0.5689998291989109,0.4142458993249774,-0.6614563976548337,-0.02143760946998763,0.7373420195674488,-0.13286779933479886,-0.0051345762548415715
2023-09-30,-0.0036038781974292236,0.5707383913923854,0.38251225278717027,-0.6685756221049511,0.0710849908318543,0.6863658222204265,-0.1435293972783107,-0.00274133088101134
2023-10-31,-0.03633879375447011,0.5767543149430019,0.3879207846326278,-0.6545685088224545,0.087861615091013,0.6681518969060034,-0.13253773143706132,-0.0032369702414160335
2023-11-30,0.031257703525365325,0.5714504076062102,0.4116216218383119,-0.6559522430235719,0.09570258421863048,0.6740425614336123,-0.138747330114881,-0.0033929294932402475
2023-12-31,0.08799479354700102,0.5904507577347582,0.35067360032229755,-0.6265311248734973,0.03159656667280611,0.6564557053411375,-0.1439156129667351,-0.0025025265683219283
2024-01-31,0.0035468622792585655,0.6160001326287609,0.5477931325237227,-0.6452389429083717,0.0194124500374106,0.7003893000191554,-0.15373355046775936,0.0007686571922686652
2024-02-29,-0.01932157226030283,0.6252971781266524,0.5724496551449472,-0.6377873502797707,0.03926302654780592,0.6750228902473491,-0.13774410184386093,-0.00032751529101840773
